,ShiftDate,ClinicName,ClinicCity,ClinicState,ShiftID,ShiftStart,ShiftEnd,DoctorFullName,HoursWorked
0,2005-01-01,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Elizabeth Berndt,20
1,2005-01-01,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Mihail Kim,20
2,2005-01-01,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Robert Hodges,20
3,2005-01-01,Redmond,Redmond,WA,1,09:00:00,05:00:00,Laura German,20
4,2005-01-01,Redmond,Redmond,WA,2,01:00:00,21:00:00,Robert Hodges,20
5,2005-01-02,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Rudolph Ison,20
6,2005-01-02,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,George Abercrombie,20
7,2005-01-02,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Rudolph Ison,20
8,2005-01-02,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,George Abercrombie,20
9,2005-01-02,Redmond,Redmond,WA,1,09:00:00,05:00:00,Laura German,20
10,2005-01-02,Redmond,Redmond,WA,2,01:00:00,21:00:00,Mihail Kim,20
11,2005-01-03,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Johnny Kogan,20
12,2005-01-03,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Kelly Steiner,20
13,2005-01-03,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Michael John Greer,20
14,2005-01-03,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Laura German,20
15,2005-01-03,Redmond,Redmond,WA,1,09:00:00,05:00:00,Ben Goldstein,20
16,2005-01-03,Redmond,Redmond,WA,2,01:00:00,21:00:00,Michael John Greer,20
17,2005-01-04,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Michael John Greer,20
18,2005-01-04,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Rudolph Ison,20
19,2005-01-04,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,George Abercrombie,20
20,2005-01-04,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Laura German,20
21,2005-01-04,Redmond,Redmond,WA,1,09:00:00,05:00:00,Kevin Mitchell,20
22,2005-01-04,Redmond,Redmond,WA,2,01:00:00,21:00:00,Michael John Greer,20
23,2005-01-05,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Ben Goldstein,20
24,2005-01-05,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Laura German,20
25,2005-01-05,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Elizabeth Berndt,20
26,2005-01-05,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,No Doctor,20
27,2005-01-05,Redmond,Redmond,WA,1,09:00:00,05:00:00,Elizabeth Berndt,20
28,2005-01-05,Redmond,Redmond,WA,2,01:00:00,21:00:00,Rudolph Ison,20
29,2005-01-06,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Robert Hodges,20
30,2005-01-06,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Laura German,20
31,2005-01-06,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Johnny Kogan,20
32,2005-01-06,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Johnny Kogan,20
33,2005-01-06,Redmond,Redmond,WA,1,09:00:00,05:00:00,Robert Hodges,20
34,2005-01-06,Redmond,Redmond,WA,2,01:00:00,21:00:00,Alan Frintu,20
35,2005-01-07,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Rudolph Ison,20
36,2005-01-07,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Michael John Greer,20
37,2005-01-07,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Ben Goldstein,20
38,2005-01-07,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Elizabeth Berndt,20
39,2005-01-07,Redmond,Redmond,WA,1,09:00:00,05:00:00,No Doctor,20
40,2005-01-07,Redmond,Redmond,WA,2,01:00:00,21:00:00,Alan Frintu,20
41,2005-01-08,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Kevin Mitchell,20
42,2005-01-08,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,No Doctor,20
43,2005-01-08,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Kevin Mitchell,20
44,2005-01-08,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,George Abercrombie,20
45,2005-01-08,Redmond,Redmond,WA,1,09:00:00,05:00:00,Johnny Kogan,20
46,2005-01-08,Redmond,Redmond,WA,2,01:00:00,21:00:00,No Doctor,20
47,2005-01-09,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Kevin Mitchell,20
48,2005-01-09,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,No Doctor,20
49,2005-01-09,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Ben Goldstein,20
50,2005-01-09,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Mihail Kim,20
51,2005-01-09,Redmond,Redmond,WA,1,09:00:00,05:00:00,Elizabeth Berndt,20
52,2005-01-09,Redmond,Redmond,WA,2,01:00:00,21:00:00,Rudolph Ison,20
53,2005-01-10,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Michael John Greer,20
54,2005-01-10,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Mihail Kim,20
55,2005-01-10,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Mihail Kim,20
56,2005-01-10,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Mihail Kim,20
57,2005-01-10,Redmond,Redmond,WA,1,09:00:00,05:00:00,Elizabeth Berndt,20
58,2005-01-10,Redmond,Redmond,WA,2,01:00:00,21:00:00,Robert Hodges,20
59,2005-01-11,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Johnny Kogan,20
60,2005-01-11,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Elizabeth Berndt,20
61,2005-01-11,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,No Doctor,20
62,2005-01-11,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Laura German,20
63,2005-01-11,Redmond,Redmond,WA,1,09:00:00,05:00:00,Johnny Kogan,20
64,2005-01-11,Redmond,Redmond,WA,2,01:00:00,21:00:00,Elizabeth Berndt,20
65,2005-01-12,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Robert Hodges,20
66,2005-01-12,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Robert Hodges,20
67,2005-01-12,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Johnny Kogan,20
68,2005-01-12,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Elizabeth Berndt,20
69,2005-01-12,Redmond,Redmond,WA,1,09:00:00,05:00:00,Johnny Kogan,20
70,2005-01-12,Redmond,Redmond,WA,2,01:00:00,21:00:00,Mihail Kim,20
71,2005-01-13,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Ben Goldstein,20
72,2005-01-13,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Alan Frintu,20
73,2005-01-13,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Robert Hodges,20
74,2005-01-13,Kirkland,Kirkland,WA,2,01:00:00,21:00:00,Michael John Greer,20
75,2005-01-13,Redmond,Redmond,WA,1,09:00:00,05:00:00,Laura German,20
76,2005-01-13,Redmond,Redmond,WA,2,01:00:00,21:00:00,George Abercrombie,20
77,2005-01-14,Bellevue,Bellevue,WA,1,09:00:00,05:00:00,Kelly Steiner,20
78,2005-01-14,Bellevue,Bellevue,WA,2,01:00:00,21:00:00,Kelly Steiner,20
79,2005-01-14,Kirkland,Kirkland,WA,1,09:00:00,05:00:00,Rudolph Ison,20
